account_id,customer_id,account_type,balance,created_at
A1,C1,CURRENT,17828.65,2026-04-14
A2,C2,savings,5699.22,2026-04-14
A3,C3,SAVINGS,-2622.53,2026-04-14
A4,C4,CURRENT,-2301.4,2026-04-14
A5,C5,savings,-1396.09,2026-04-14
A6,C6,CURRENT,-2594.19,2026-04-14
A7,C7,SAVINGS,23445.71,2026-04-14
A8,C8,CURRENT,14644.98,2026-04-14
A9,C9,savings,30902.92,2026-04-14
A10,C10,SAVINGS,17129.11,2026-04-14
A11,C11,SAVINGS,32103.11,2026-04-14
A12,C12,savings,17927.64,2026-04-14
A13,C13,CURRENT,32705.73,2026-04-14
A14,C14,savings,36594.71,2026-04-14
,C15,SAVINGS,13064.19,2026-04-14
A16,C16,savings,37385.68,2026-04-14
A17,C17,SAVINGS,12521.56,2026-04-14
,C18,CURRENT,1486.85,2026-04-14
A19,C19,savings,12826.63,2026-04-14
A20,C20,savings,46646.65,2026-04-14
A21,C21,CURRENT,11269.09,2026-04-14
A22,C22,CURRENT,24382.0,2026-04-14
A23,C262,SAVINGS,-4518.35,2026-04-14
A24,C24,SAVINGS,26575.76,2026-04-14
A25,C25,SAVINGS,6838.77,2026-04-14
A26,C26,savings,28229.37,2026-04-14
,C27,CURRENT,47425.28,2026-04-14
A28,C28,savings,19313.19,2026-04-14
A29,C29,CURRENT,31338.85,2026-04-14
A30,C30,SAVINGS,3152.49,2026-04-14
A31,C31,SAVINGS,-1844.68,2026-04-14
A32,C32,savings,5194.94,2026-04-14
A33,C33,SAVINGS,21445.43,2026-04-14
A34,C34,CURRENT,45568.51,2026-04-14
A35,C35,savings,23113.08,2026-04-14
A36,C36,CURRENT,45242.21,2026-04-14
A37,C37,SAVINGS,14880.92,2026-04-14
A38,C38,savings,41767.14,2026-04-14
A39,C39,CURRENT,533.92,2026-04-14
A40,C40,CURRENT,16124.88,2026-04-14
A41,C41,SAVINGS,3643.0,2026-04-14
A42,C42,CURRENT,42766.92,2026-04-14
A43,C43,SAVINGS,9363.47,2026-04-14
A44,C44,CURRENT,29664.38,2026-04-14
A45,C45,SAVINGS,33450.61,2026-04-14
A46,C46,CURRENT,21057.91,2026-04-14
A47,C47,CURRENT,19484.63,2026-04-14
A48,C48,SAVINGS,36015.88,2026-04-14
A49,C49,CURRENT,35135.31,2026-04-14
A50,C50,savings,14384.91,2026-04-14
A51,C51,savings,40861.44,2026-04-14
A52,C52,SAVINGS,4608.75,2026-04-14
A53,C53,CURRENT,18532.26,2026-04-14
A54,C54,savings,44380.25,2026-04-14
A55,C55,savings,47353.16,2026-04-14
A56,C56,savings,4139.94,2026-04-14
A57,C57,SAVINGS,35701.01,2026-04-14
A58,C58,SAVINGS,2835.03,2026-04-14
A59,C59,SAVINGS,32496.43,2026-04-14
A60,C60,SAVINGS,39402.94,2026-04-14
A61,C281,CURRENT,1059.11,2026-04-14
A62,C62,SAVINGS,37655.67,2026-04-14
A63,C63,savings,6689.99,2026-04-14
A64,C64,SAVINGS,14211.83,2026-04-14
A65,C65,savings,43382.21,2026-04-14
A66,C66,CURRENT,43624.91,2026-04-14
A67,C285,CURRENT,41675.73,2026-04-14
A68,C68,SAVINGS,6339.17,2026-04-14
A69,C69,CURRENT,37915.07,2026-04-14
A70,C70,savings,28661.07,2026-04-14
A71,C71,SAVINGS,17244.59,2026-04-14
A72,C72,savings,20937.25,2026-04-14
A73,C73,SAVINGS,12197.05,2026-04-14
A74,C250,SAVINGS,13886.5,2026-04-14
A75,C75,SAVINGS,45858.92,2026-04-14
A76,C76,SAVINGS,38987.95,2026-04-14
A77,C77,CURRENT,8766.37,2026-04-14
A78,C78,SAVINGS,34642.82,2026-04-14
A79,C79,savings,7931.97,2026-04-14
A80,C80,savings,29911.78,2026-04-14
A81,C81,CURRENT,41208.95,2026-04-14
A82,C82,SAVINGS,20974.15,2026-04-14
A83,C83,SAVINGS,13098.13,2026-04-14
A84,C84,SAVINGS,7175.84,2026-04-14
A85,C85,SAVINGS,33243.82,2026-04-14
A86,C86,SAVINGS,443.44,2026-04-14
A87,C87,savings,39982.48,2026-04-14
A88,C88,savings,10026.01,2026-04-14
A89,C89,CURRENT,33591.91,2026-04-14
A90,C90,SAVINGS,27842.05,2026-04-14
A91,C91,CURRENT,30092.74,2026-04-14
A92,C92,SAVINGS,42703.81,2026-04-14
A93,C93,SAVINGS,37108.56,2026-04-14
A94,C94,SAVINGS,49570.79,2026-04-14
A95,C95,SAVINGS,7335.58,2026-04-14
A96,C96,SAVINGS,11948.55,2026-04-14
A97,C97,savings,14402.23,2026-04-14
A98,C98,SAVINGS,14523.89,2026-04-14
A99,C99,CURRENT,20691.62,2026-04-14
A100,C100,SAVINGS,7109.37,2026-04-14
A73,C73,SAVINGS,12197.05,2026-04-14
A51,C51,savings,40861.44,2026-04-14
,C27,CURRENT,47425.28,2026-04-14
A23,C262,SAVINGS,-4518.35,2026-04-14
A96,C96,SAVINGS,11948.55,2026-04-14
