transaction_id,account_id,customer_id,amount,transaction_type,merchant,transaction_date
T1,A62,C62,9545.28,,,2026-04-14 10:16:00
T2,A81,C81,14219.4,credit,Amazon,2026-04-14 12:20:00
T3,A58,C58,5354.45,,Swiggy,2026-04-14 1:37:00
T4,A68,C68,14759.33,DEBIT,Amazon,2026-04-14 13:44:00
T5,A84,C84,19471.07,DEBIT,Amazon,2026-04-14 9:57:00
T6,A65,C65,1081.21,credit,Zomato,2026-04-14 21:28:00
T7,A20,C20,1895.97,credit,,2026-04-14 20:46:00
T8,A1,C1,14977.36,DEBIT,Flipkart,2026-04-14 16:54:00
T9,A64,C64,6386.8,debit,Flipkart,2026-04-14 17:39:00
T10,A13,C13,18620.88,,Amazon,2026-04-14 10:25:00
T11,A22,C22,16772.99,DEBIT,Amazon,2026-04-14 23:55:00
T12,A36,C36,9034.81,debit,Zomato,2026-04-14 15:38:00
T13,A58,C58,14661.21,DEBIT,Amazon,2026-04-14 6:7:00
T14,A60,C60,14469.1,credit,Zomato,2026-04-14 4:46:00
T15,A88,C88,17838.07,debit,Flipkart,2026-04-14 4:51:00
T16,A32,C32,1933.09,credit,Swiggy,2026-04-14 7:31:00
T17,A67,C67,15315.39,credit,Amazon,2026-04-14 11:26:00
T18,A73,C73,7866.81,,Swiggy,2026-04-14 6:33:00
T19,A93,C93,12074.68,debit,Flipkart,2026-04-14 2:59:00
T20,A39,C39,5330.75,DEBIT,Flipkart,2026-04-14 1:45:00
T21,A35,C35,10203.14,credit,Flipkart,2026-04-14 14:2:00
T22,A82,C82,11156.23,credit,Swiggy,2026-04-14 23:56:00
T23,A8,C8,14855.38,debit,Zomato,2026-04-14 22:10:00
T24,A22,C22,6572.03,,Flipkart,2026-04-14 19:36:00
T25,A20,C20,14748.26,credit,,2026-04-14 14:8:00
T26,A1,C1,14332.7,debit,Swiggy,2026-04-14 14:51:00
T27,A2,C2,3402.16,,Flipkart,2026-04-14 15:49:00
T28,A82,C82,17587.54,,Swiggy,2026-04-14 0:5:00
T29,A60,C60,15398.51,debit,,2026-04-14 8:37:00
T30,A27,C27,13785.07,debit,,2026-04-14 8:32:00
T31,A89,C89,14752.39,,Swiggy,2026-04-14 15:46:00
T32,A2,C2,7009.03,debit,Flipkart,2026-04-14 23:1:00
T33,A24,C24,18061.84,DEBIT,Zomato,2026-04-14 10:17:00
T34,A94,C94,19732.94,,,2026-04-14 5:2:00
T35,A8,C8,5376.72,debit,Amazon,2026-04-14 2:37:00
T36,A53,C53,9910.85,,Swiggy,2026-04-14 18:15:00
T37,A32,C32,2096.88,DEBIT,Flipkart,2026-04-14 16:56:00
T38,A98,C98,2643.47,credit,,2026-04-14 7:14:00
T39,A93,C93,16185.14,DEBIT,Flipkart,2026-04-14 1:18:00
T40,A81,C81,11579.28,,Flipkart,2026-04-14 5:50:00
T41,A40,C40,9771.02,credit,Swiggy,2026-04-14 23:55:00
T42,A26,C26,19521.72,credit,Amazon,2026-04-14 3:13:00
T43,A8,C8,17127.22,DEBIT,Amazon,2026-04-14 3:30:00
T44,A15,C15,8471.2,credit,Zomato,2026-04-14 22:46:00
T45,A5,C5,4922.34,credit,Swiggy,2026-04-14 1:19:00
T46,A89,C89,7715.26,debit,Amazon,2026-04-14 7:50:00
T47,A31,C31,15488.0,credit,Flipkart,2026-04-14 21:58:00
T48,A76,C76,18033.89,DEBIT,Flipkart,2026-04-14 2:39:00
T49,A25,C25,7299.85,,Swiggy,2026-04-14 12:6:00
T50,A54,C54,13772.62,,Swiggy,2026-04-14 3:49:00
T51,A74,C74,4280.43,debit,,2026-04-14 16:5:00
T52,A82,C82,11993.54,DEBIT,Flipkart,2026-04-14 13:32:00
T53,A7,C7,4224.09,DEBIT,Zomato,2026-04-14 4:45:00
T54,A98,C98,2251.49,,Zomato,2026-04-14 7:23:00
T55,A3,C3,17102.98,DEBIT,Flipkart,2026-04-14 5:55:00
T56,A55,C55,1547.1,credit,Amazon,2026-04-14 2:49:00
T57,A89,C89,8476.08,debit,Flipkart,2026-04-14 14:12:00
T58,A72,C72,9269.76,debit,,2026-04-14 0:31:00
T59,A58,C58,18185.92,,Flipkart,2026-04-14 8:20:00
T60,A5,C5,2163.87,DEBIT,Swiggy,2026-04-14 19:37:00
T61,A85,C85,6716.06,debit,Flipkart,2026-04-14 9:19:00
T62,A75,C75,10301.11,,Zomato,2026-04-14 6:12:00
T63,A18,C18,11034.24,debit,Swiggy,2026-04-14 10:35:00
T64,A10,C10,11495.23,,,2026-04-14 11:16:00
T65,A3,C3,6554.4,,Zomato,2026-04-14 15:21:00
